CAT	EXAMPLEID
REFCLIT	pl0100293
REFCLIT	pl0100294
COMP	pl0100295
REFL	pl0100296
REFL	pl0100297
REFCLIT	pl0100298
AGRSEM	pl0100299
NOMPRED	pl0100300
POSS	pl0100301
IDEFIN	pl0100302
COMP	pl0100303
NAME	pl0100304
COMP	pl0100305
COMP	pl0100306
SA-DIR	pl0100307
SA-DIR	pl0100308
EXIST	ru0100001
EPIST	ru0100001
RECI	ru0100002
ITR	ru0100003
PFUT	ru0100004
DOM	ru0100004
PFUT	ru0100005
DOM-ANIM	ru0100005
HYP	ru0100006
DSM	ru0100007
EXIST-NEG	ru0100007
POSS	ru0100008
NOMPRED	ru0100009
NOMPRED	ru0100010
NOMPRED	ru0100011
NOMPRED	ru0100012
DOM-NEG	ru0100013
DOM-NEG	ru0100014
DOM-ANIM	ru0100015
AGRSEM	ru0100015
NOMPRED	ru0100016
AGRSEM	ru0100016
POSS	ru0100017
POSS	ru0100018
SA-DIR	ru0100019
IPER	ru0100019
SA-DIR	ru0100020
IPER	ru0100020
SA-DIR	ru0100021
DROP	ru0100021
SA-DIR	ru0100022
IPER	ru0100022
RECI	ru0100023
GIVE	ru0100024
GIVE	ru0100025
IDEFIN	ru0100025
SPEC	ru0100025
REFL	ru0100026
AGRSEM	ru0100027
NOMPRED	ru0100028
NOMPRED	ru0100029
NOMPRED	ru0100030
AGRSEM	ru0100030
IPER	ru0100031
NOMPRED	ru0100032
DOM	ru0100033
DOM	ru0100034
DOM	ru0100035
DOM	ru0100036
IPER	ru0100037
SA-DIR	ru0100037
RECI	ru0100038
ITR	ru0100039
EVID	ru0100040
RC	ru0100041
APPR	ru0100042
ECH	ru0100043
IMPP	ru0100043
PCOORD	ru0100043
TAKE	ru0100044
PCOORD	ru0100044
APPR	ru0100045
APPR	ru0100046
APPR	ru0100047
APPR	ru0100048
APPR	ru0100049
APPR	ru0100050
APPR	ru0100051
APPR	ru0100052
APPR	ru0100053
APPR	ru0100054
APPR	ru0100055
PRV	ru0100055
SA-DIR	ru0100056
SA-DIR	ru0100057
SA-DIR	ru0100058
SA-DIR	ru0100059
SA-DIR	ru0100060
TAKE	ru0100061
PCOORD	ru0100061
IMPP	ru0100061
TAKE	ru0100062
PCOORD	ru0100062
IMPP	ru0100062
TAKE	ru0100063
PCOORD	ru0100063
IMPP	ru0100063
ECH	ru0100064
ECH	ru0100065
IMPP	ru0100066
PCOORD	ru0100066
IMPP	ru0100067
PCOORD	ru0100067
IMPP	ru0100068
IMPP	ru0100069
IMPP	ru0100070
IMPP	ru0100071
IMPP	ru0100072
RECI	ru0100073
RECI	ru0100074
RECI	ru0100075
RECI	ru0100076
RECI	ru0100077
RECI	ru0100078
RECI	ru0100079
RECI	ru0100080
RECI	ru0100081
RECI	ru0100082
ITR	ru0100083
ITR	ru0100084
ITR	ru0100085
ITR	ru0100086
ITR	ru0100087
ITR	ru0100088
ITR	ru0100089
ITR	ru0100090
ITR	ru0100091
ITR	ru0100092
ITR	ru0100093
ITR	ru0100094
ITR	ru0100095
ITR	ru0100096
ITR	ru0100097
ITR	ru0100098
