CAT	EXAMPLEID
IPER	pl0100108
IPER	pl0100109
IPER	pl0100110
IPER	pl0100111
AGRSEM	pl0100112
AGRSEM	pl0100113
AGRSEM	pl0100114
AGRSEM	pl0100115
AGRSEM	pl0100116
RESULT	pl0100117
RESULT	pl0100118
RECI	pl0100118
RESULT	pl0100119
RC	pl0100120
POSS	pl0100120
POSS	pl0100121
POSS	pl0100122
EVID	pl0100123
EVID	pl0100124
EVID	pl0100125
EVID	pl0100126
EVID	pl0100127
EVID	pl0100128
EVID	pl0100129
EPIST	pl0100130
EPIST	pl0100131
EPIST	pl0100132
RECI	pl0100132
EPIST	pl0100133
EPIST	pl0100134
EPIST	pl0100135
EPIST	pl0100136
DISP	pl0100137
DISP	pl0100138
EPIST	pl0100138
ITER	pl0100139
ITER	pl0100140
ITER	pl0100141
ITER	pl0100142
EPIST	pl0100142
ITER	pl0100143
ITER	pl0100144
DOM-ANIM	pl0100145
DOM-ANIM	pl0100146
DOM-ANIM	pl0100147
DOM-ANIM	pl0100148
DOM-ANIM	pl0100149
DOM-ANIM	pl0100150
DOM-ANIM	pl0100151
DOM-ANIM	pl0100152
DOM-ANIM	pl0100153
DOM-ANIM	pl0100154
POSS	pl0100154
DOM-ANIM	pl0100155
DOM-ANIM	pl0100156
DSM-ANIM	pl0100157
DSM-ANIM	pl0100158
DSM-ANIM	pl0100159
DSM-ANIM	pl0100160
DSM-ANIM	pl0100161
DSM-ANIM	pl0100162
DSM-ANIM	pl0100163
DSM-ANIM	pl0100164
DSM-ANIM	pl0100165
DSM-ANIM	pl0100166
DSM-ANIM	pl0100167
DSM-ANIM	pl0100168
DSM-ANIM	pl0100169
MFOC	pl0100170
MFOC	pl0100171
MFOC	pl0100172
MFOC	pl0100173
MFOC	pl0100174
RC	pl0100174
MFOC	pl0100175
RC	pl0100175
MTOP	pl0100176
MTOP	pl0100177
MTOP	pl0100178
MTOP	pl0100179
MTOP	pl0100180
MTOP	pl0100181
RC	pl0100181
MTOP	pl0100182
RC	pl0100182
ANAPH	pl0100183
RC	pl0100183
DSM	pl0100183
EVID	pl0100183
ECH	pl0100184
ECH	pl0100185
ECH	pl0100186
EVID	pl0100186
RESULT	pl0100187
RESULT	pl0100188
NOMPRED	pl0100189
NOMPRED	pl0100190
NOMPRED	pl0100191
NOMPRED	pl0100192
RC	pl0100193
RC	pl0100194
DOM	pl0100195
DOM	pl0100196
DSM	pl0100197
DSM	pl0100198
DSM	pl0100199
DOM	pl0100200
DOM	pl0100201
DOM	pl0100202
DOM	pl0100203
NAME	pl0100204
NAME	pl0100205
GRAD	pl0100206
NOMPRED	pl0100206
GRAD	pl0100207
REFL	pl0100208
REFCLIT	pl0100208
PASS	pl0100209
REFCLIT	pl0100209
REFCLIT	pl0100210
REFCLIT	pl0100211
COMP	pl0100212
REFL	pl0100213
REFL	pl0100214
REFL	pl0100215
REFL	pl0100216
REFCLIT	pl0100217
AGRSEM	pl0100218
AGRSEM	pl0100219
NOMPRED	pl0100220
POSS	pl0100221
IDEFIN	pl0100222
COMP	pl0100223
NAME	pl0100224
COMP	pl0100225
COMP	pl0100226
SA-DIR	pl0100227
SA-DIR	pl0100228
SA-DIR	pl0100229
EXIST	ru0100001
EPIST	ru0100001
RECI	ru0100002
ITR	ru0100003
PFUT	ru0100004
DOM-ANIM	ru0100004
PFUT	ru0100005
DOM-ANIM	ru0100005
HYP	ru0100006
DSM	ru0100007
EXIST-NEG	ru0100007
POSS	ru0100008
NOMPRED	ru0100009
NOMPRED	ru0100010
NOMPRED	ru0100011
NOMPRED	ru0100012
DOM-NEG	ru0100013
DOM-NEG	ru0100014
DOM-ANIM	ru0100015
AGRSEM	ru0100015
NOMPRED	ru0100016
AGRSEM	ru0100016
POSS	ru0100017
POSS	ru0100018
SA-DIR	ru0100019
IPER	ru0100019
SA-DIR	ru0100020
IPER	ru0100020
SA-DIR	ru0100021
DROP	ru0100021
SA-DIR	ru0100022
IPER	ru0100022
RECI	ru0100023
GIVE	ru0100024
GIVE	ru0100025
IDEFIN	ru0100025
SPEC	ru0100025
REFL	ru0100026
AGRSEM	ru0100027
NOMPRED	ru0100028
NOMPRED	ru0100029
AGRSEM	ru0100029
IPER	ru0100030
NOMPRED	ru0100031
DOM	ru0100032
DOM	ru0100033
DOM	ru0100034
DOM	ru0100035
IPER	ru0100036
SA-DIR	ru0100036
RECI	ru0100037
ITR	ru0100038
EVID	ru0100039
RC	ru0100040
APPR	ru0100041
ECH	ru0100042
IMPP	ru0100042
PCOORD	ru0100042
TAKE	ru0100043
PCOORD	ru0100043
APPR	ru0100044
APPR	ru0100045
APPR	ru0100046
APPR	ru0100047
APPR	ru0100048
APPR	ru0100049
APPR	ru0100050
APPR	ru0100051
APPR	ru0100052
PRV	ru0100052
SA-DIR	ru0100053
SA-DIR	ru0100054
SA-DIR	ru0100055
SA-DIR	ru0100056
SA-DIR	ru0100057
TAKE	ru0100058
PCOORD	ru0100058
IMPP	ru0100058
TAKE	ru0100059
PCOORD	ru0100059
IMPP	ru0100059
TAKE	ru0100060
PCOORD	ru0100060
IMPP	ru0100060
ECH	ru0100061
ECH	ru0100062
IMPP	ru0100063
PCOORD	ru0100063
IMPP	ru0100064
PCOORD	ru0100064
IMPP	ru0100065
IMPP	ru0100066
IMPP	ru0100067
IMPP	ru0100068
IMPP	ru0100069
RECI	ru0100070
RECI	ru0100071
RECI	ru0100072
RECI	ru0100073
RECI	ru0100074
RECI	ru0100075
RECI	ru0100076
RECI	ru0100077
ITR	ru0100078
ITR	ru0100079
ITR	ru0100080
ITR	ru0100081
ITR	ru0100082
ITR	ru0100083
ITR	ru0100084
ITR	ru0100085
ITR	ru0100086
ITR	ru0100087
ITR	ru0100088
ITR	ru0100089
ITR	ru0100090
ITR	ru0100091
ITR	ru0100092
ITR	ru0100093
ITR	ru0100094
ITR	ru0100095
ITR	ru0100096
ITR	ru0100097
ITR	ru0100098
ITR	ru0100099
ITR	ru0100100
ITR	ru0100101
ITR	ru0100102
ITR	ru0100103
ITR	ru0100104
ITR	ru0100105
IPER	ru0100106
IPER	ru0100107
IPER	ru0100108
IPER	ru0100109
IPER	ru0100110
IPER	ru0100111
IPER	ru0100112
IPER	ru0100113
IPER	ru0100114
RESULT	ru0100115
POSS	ru0100116
POSS	ru0100117
EVID	ru0100118
SA-OPT	ru0100118
EVID	ru0100119
EVID	ru0100120
EVID	ru0100121
EVID	ru0100122
EVID	ru0100123
EVID	ru0100124
EVID	ru0100125
EVID	ru0100126
EVID	ru0100127
ITER	ru0100128
ITER	ru0100129
EPIST	ru0100130
EPIST	ru0100131
EPIST	ru0100132
EPIST	ru0100133
CIRC	ru0100134
EPIST	ru0100134
EPIST	ru0100135
EPIST	ru0100136
EPIST	ru0100137
EPIST	ru0100138
ITER	ru0100138
DOM-ANIM	ru0100139
DOM-ANIM	ru0100140
DOM-ANIM	ru0100141
DOM-ANIM	ru0100142
DOM-ANIM	ru0100143
DOM-ANIM	ru0100144
DOM-ANIM	ru0100145
MFOC	ru0100146
MFOC	ru0100147
MFOC	ru0100148
MFOC	ru0100149
MFOC	ru0100150
MTOP	ru0100151
MTOP	ru0100152
ECH	ru0100153
ECH	ru0100154
NSPEC	ru0100155
APPROX	ru0100156
EXIST	ru0100157
RESULT	ru0100158
RESULT	ru0100159
RESULT	ru0100160
NOMPRED	ru0100161
NOMPRED	ru0100162
PCOORD	ru0100163
PCOORD	ru0100164
PCOORD	ru0100165
RC	ru0100166
SPEC	ru0100167
IDEFIN	ru0100167
SPEC	ru0100168
IDEFIN	ru0100168
SPEC	ru0100169
IDEFIN	ru0100169
NSPEC	ru0100170
IDEFIN	ru0100170
EPIST	ru0100171
IDEFIN	ru0100171
EPIST	ru0100172
IDEFIN	ru0100172
EPIST	ru0100173
IDEFIN	ru0100173
EPIST	ru0100174
IDEFIN	ru0100174
EPIST	ru0100175
IDEFIN	ru0100175
REFL	ru0100176
RC	ru0100177
EXIST	ru0100177
LOC	ru0100178
LOC	ru0100179
LOC	ru0100180
LOC	ru0100181
LOC	ru0100182
PREP	ru0100183
PREP	ru0100184
PREP	ru0100185
PREP	ru0100186
GEN	ru0100187
GEN	ru0100188
GENPART	ru0100189
GENPART	ru0100190
GEN	ru0100191
GEN	ru0100192
GEN	ru0100193
GEN	ru0100194
GEN	ru0100195
GEN	ru0100196
PREPOST	ru0100197
PREPOST	ru0100198
AGR-NUM	ru0100199
AGR-NUM	ru0100200
AGR-NUM	ru0100202
AGR-NUM	ru0100201
AGR-NUM	ru0100203
AGR-NUM	ru0100204
AGR-NUM	ru0100205
AGR-NUM	ru0100206
AGR-NUM	ru0100207
AGR-NUM	ru0100208
AGR-NUM	ru0100209
NAME	ru0100210
NAME	ru0100211
INCOUNT	ru0100212
SF-ADJ	ru0100213
LF-ADJ	ru0100214
AGR-NUM	ru0100215
GRAD	ru0100216
POSTFIX	ru0100217
REFL	ru0100217
POSTFIX	ru0100218
POSTFIX	ru0100219
REFL	ru0100220
REFL	ru0100221
REFL	ru0100222
REFL	ru0100223
REFL	ru0100224
REFL	ru0100225
REFL	ru0100226
REFL	ru0100227
AGRSEM	ru0100228
AGRSEM	ru0100229
AGRSEM	ru0100230
AGRSEM	ru0100231
AGRSEM	ru0100232
NAME	ru0100233
COMP	ru0100234
COMP	ru0100235
SA-DIR	ru0100236
SA-DIR	ru0100237
SA-DIR	ru0100238
SA-DIR	ru0100239
